id,listing_id,comments
769577,16557564,catherine s house in crouch hill is a very recommendable place to stay it is really quiet and yet perfectly well situated the house is beautiful and very well taken care of the kitchen is perfect - some guests like to have a chat there others just prepare coffee if i am in london next year i will check out vacancies again thank you catherine
821719,17672343,great location for the tube and a ten minute walk to finsbury park garden was a lovely sun trap
834067,17899584,skv l dostupnost do centra rychl komunikace velmi p kn pokoj
928093,20019492,great apartment - highly recommend if you want a nice space in a good location
663453,14166449,this is a very lovely flat and the location was perfect for us it s a quiet street that feels neighborhood-y but still a very short walk to a transportation hub at hammersmith marine was super responsive and helpful with our requests even over the holiday period the flat was spacious and well looked after with very up-to-date features just as it looks in the photos would definitely use the home again thank you
803157,17277600,stayed at marjorie s place for 1 night when i needed somewhere to crash whilst in london amazing house great location for me and seamless check-in will be back
1118994,27388325,the flat was lovely naren was very accommodating and flexible would stay here again
1108948,26631655,l appartement est confortable dans une rue calme et proximit directe du m tro la communication a t tr s facile et nous reviendrons avec plaisir dans ce logement pour notre prochain voyage londres
1111196,26796974,this is a an amazing place didn t think you could get a balcony like this in london the area is so great with lots of restaurant and pubs within 10 min walk communication was so prompt and so accommodating will definitely return next time in london
854617,18364593,it is very conveniently located there is also good thai food and muffin man nearby karim has also been very helpful since the start
714431,15246328,the flat is a super little pad with everything you need for a short or long stay immaculately presented with no issues
861264,18532226,sam fue muy atento y estaba dispuesto a ayudar en lo que hiciera falta el apartamento es tal cual aparece en las fotos un lugar c ntrico tranquilo y cerca del metro
1026442,22647017,it was really nice choice to stay carmen s place hightly recommend
793942,17073671,brilliant stay mike is a great host with impeccable taste thank you i ll be back
1128654,28102078,mi madre mi hija y yo nos alojamos en el apartamento de junaid del 4 al 8 de octubre le damos las gracias por la hospitalidad por resolver nuestras dudas de manera r pida su primo se mostr muy educado amable y pendiente de que estuvi ramos c modas incluso nos dej paraguas el d a que llovi en su apartamento pronto nos sentimos como en nuestra propia casa la ubicaci n del apartamento nos pareci perfecta en el centro de la ciudad en una calle animada pero a la vez tranquila el c digo de la puerta de entrada es muy c modo porque evita recoger la llave en otra direcci n estaban realizando obras de mejora en el portal que a nosotras no nos molestaron la informaci n sobre el apartamento fue veraz era un primer piso vi que correspond a con las fotograf as del anuncio incluso me pareci mejor porque yo esperaba un espacio a n m s reducido adem s el sof la mesa y tres sillas eran mejores y estaban mejor distribuidos en la habitaci n los muebles de la cocina y los electrodom sticos impecables en el dormitorio hab a una mesilla al lado de la cama y una barra para colgar perchas cosas tiles que no aparecen en las fotos nos resultaron muy pr cticas otras 3 sillas plegables a nuestra disposici n que utilizamos para colocar las toallas y tambi n para poder sentarnos a la mesa nosotras tres y mi hija que vive en londres y a la que invit bamos a cenar la calefacci n funcion muy bien por lo que el ambiente fue muy confortable el sof cama es c modo para dormir la cama es demasiado blanda para nuestro gusto pero pudimos descansar bien las toallas y s banas son de buena calidad hab a productos de higiene ser an muy tiles unas cuantas perchas m s para poder colgar toda nuestra ropa en la cocina encontramos los utensilios necesarios para cocinar cosas sencillas a adir a una pota con tapa y unos recipientes de cristal con tapa aptos para meter en el microondas y en la nevera el ba o es peque o como se muestra en las fotos pero nosotras nos arreglamos bien los sanitarios estaban bien limpios pero se puede mejorar la limpieza de los rincones nos comentaron que despu s de finalizar las obras el apartamento iba a quedar mejor se ve que los antiguos arreglos en el apartamento no fueron hechos por expertos deseamos que las nuevas obras que est n realizando actualmente sean satisfactorias en definitiva comparando los precios tan caros de la zona el apartamento ofrece una buena relaci n calidad/precio la estancia fue tan agradable que si volvemos a londres nos gustar a alojarnos en esta casa
976156,21236289,brilliant flat was reserved for the family from wales they were very happy and praised the peacefulness of the flat the key handover was easy as person met us at a place of convenience days before thank you
953658,20673055,we loved our stay in this immaculate home we were made very welcome and the rooms were lovely and comfortable a short walk from golders green tube made it very easy to get into london i wouldn t hesitate to recommend this home and can t wait to stay here again
815301,17554693,karen is a wonderful person her home is a lovely home the room is lovely i did not mind it s size it was fine for what i needed shops near by and easy to get to karen was very helpful and very welcoming and i would not hesitate to stay there again
775333,16698959,great location for sightseeing and also nice spot for going to airport room with lock is great for a traveler
694452,14795412,great spot in london nice flat perfect for 2 very clean and comfortable
694472,14795412,awesome location for pricing orlando was very responsive i would suggest giving guests more than one key especially if guests are on different schedules neighbor upstairs walks up and down all day and night so if you are sensitive to noise be mindful of this we were out all the time so this wasn t an issue
915948,19805435,great place to stay the room is spacious and quiet & virajini and rajan are lovely hosts
1090680,25400960,great location for visiting kew gardens the accommodation was very clean and comfortable in a quiet location it was very nice to have our own space make cups of tea and have breakfast
917653,19835025,we had a great time very nice and clean apartment just next to hammersmith train station
796774,17147698,this is our favorite part of london dan s place is very well priced for the neighborhood and he was responsive and helpful recommend and would stay again
928761,20031538,i would highly recommend this place anna and her partner have wonderful taste and the house feels light and spacious we stayed as a group and had to increase to a third bedroom at quite short notice to which anna was very accommodating and cool to negotiate with it s a great area and i would highly recommend staying here to anyone
964065,20959643,stylish and clean has a lovely balcony very sweet and friendly hosts
884047,19107561,such a beautiful apartment to stay in clair is the perfect host quick response time and really helpful we have stayed in loads of airbnb s and find it s the personal touches that make all the difference a really cool design in a stunning location - we will definitely be using again next time we re in greenwich thank you so much for letting us stay in your home we would highly recommend
658403,14035683,very nice clean apartment with this price and location highly recommended
725378,15490895,i would highly recommend anna s flat it was incredibly relaxing - great kitchen sofa was probably the largest i ve ever seen and in the run up to christmas was toasty warm for anyone who doesn t come from london the location is great 5 minutes walk to tooting bec underground station which is on the northern line - taking you straight into the centre of london anna was a fabulous host there when we needed here but pretty much everything was explained on arrival so we could treat as our own flat during the week great airbnb experience
771113,16613258,awesome stay great location and could not have found a better host
888828,19205371,hallo steven ist ein sehr freundlicher gastgeber der alle fragen gerne und schnell beantwortet die wohnung war sehr sehr sauber sehr gro z gig und aufger umt die lage war etwa 20 gehminuten vom victoria square entfernt und etwa 5-10 gehminuten von der underground station sloane square von der aus man innerhalb k rzester zeit an allen wichtigen touristen zielorten gelangen konnte nur zu empfehlen f r einen kurztrip
642853,13691283,great apartment in a good location neat and clean excellent access to public transport and some great restaurants in the neighbourhood
706632,15049963,great family stay close to public transportation buses tube shops and restaurants nice and clean flat simply furnished but comfy lot of space two bathrooms really appreciated hyde park at the corner with playground ideal for kids easy communication with ali
907672,19639756,firstly naing is an awesome person he s caring meticulous friendly and always eager to ensure that my stay is perfect he provided tips for using the underground provided food way too much and general advice regarding the vicinity secondly naing s place is neat and comfortable it was also located in a peaceful area and i slept without disturbance during my stay lastly naing s place is located extremely close to the underground a real plus since i had a fair bit of luggage i would definitely choose to stay with naing again his place was good he s a great man and my stay was perfect
881878,19051315,excellent adresse acceuil tr s chaleureux chambre parfaite bien mieux que certains h tels location excellente 5min pied de london victoria nous conseillons vivement
658987,14054624,i would definitely use michelle s accommodation again initially i was looking for something cheeper but don t regret a second the cabin is stunning and michelle is a brilliant host strongly recommend it
1071302,24461307,oliver s place in southfields was great it was so easy to get everywhere on the tube and the station was so close the neighbourhood felt very safe inviting and friendly and the atmosphere looking out the lounge room window was just lovely would have liked the entrance to the flat to be a little simpler with a heavy suitcase and a rear laneway entrance with lots of steps but once you were in it was all worthwhile the apartment was beautiful and quiet- a totally peaceful little haven thanks oliver for your great communication and for a perfect stay in london i would definitely stay here again without hesitation
920041,19881100,tiffany was a very friendly host who provided us with local information about how to get around in london the appartment was clean cosy and very well located it is easily accessible by underground and bus i would definitely stay there again
920052,19881100,tiffany was very professional and could supply a lot of local information i was very lucky to get it
672587,14347792,its a very nice flat when we just check in every thing looks perfect it have 5minutes way from flat to upton part station a small piont i need mention is there are no hair dryer in both 2 bath room the the room at top of house is an ensuite very nice everything in kitchen are perfect james was very patient with my lots of questions many thanks to him
756387,16237352,the apartment is super convenient for a number of business and tourist locations the week days bustle with business workers but the evenings become quiet and the weekends positively serene with the lazy walks to st paul s or the river equally tempting an 8 minute bus to waterloo or bank means the office won t be far away either the interior is modern comfortable and genuinely 5*
637981,13584735,dominika is a great host her apartment is located very close to the tube station and is very central big spacious room bright and clean i had to extend my stay and that was done without any problems one of the best places i ve stayed at highly recommend to anyone who wants affordable and great accomodation in london thank you so much dominika for your hospitality and i hope to see you soon
1025590,22611334,perfecta ubicaci n ya que se encuentra a 7 min andando del big ben en obras
1034644,22969674,everything was totally spot on was really nervous about my stay as my last london airbnb experience had been extremely bad but this place was perfect super clean in a nice neighbourhood in walking distance of the tube i worked late hours so didn t get to interact with anyone in the house but aivaras was super responsive whenever i had any questions will definitely be back again
939250,20301087,disappointed the pics look good and the location is ok but in reality its not great after a long journey we wanted comfort but the place was bare and cold plus the entrance at the front was dirty and very steep i requested a cot for our baby and he asked me to go halfers with another future tenant 30 pounds each which i thought was strange i mean do i keep half of it or am i buying things for your property for your customers travel cots are 27 pounds at argos so we got one ourselves and hey we got to keep it the place had no hand soap no kitchen towels the kettle was old and full of limescale we had to buy one to use the bath towels had some stains and there was fake tan on the walls the pics make it look good but theres a lot of touches that have been botched or done on the cheap painted over damp walls cheap thin curtains wires not concealed properly etc my dad leaned on a wall and he got wet from damp and had white paint on his shirt which was all peeling off not ideal there was wet cloths under the sink which were likely used for the toilet the mop bucket had water in it and the hoover was left out in the front bedroom the kitchen was missing pans and utensils etc very basic and very bare overall also on check out we were told two different times 1100 and 1200 we went by a manual sent to us which stated 12 and at 11 we had the cleaner outside ushering us out with a baby and 3 people this is just not good the street is a main road to a 24h a&e hospital we counted 4 loud ambulances scream past on the first night so moved the baby to the back room the tubes are 15 minute walk although it is very close to the olympia overground station which might be handy if coming from gatwick and a 20 min walk to earls court which has a direct tube to heathrow tubes aren t that close really positives are the heating works well and the showers are warm although the central shower did leak from above the shower head if the price was in line with other property s of this standard in the area that would be fine but paying a premium for a non premium property left a sour taste
836104,17949206,me gust la ubicaci n el acceso al transporte underground bus a pie un lugar bonito con supermercados y restaurantes cerca f cil de ubicar a una cuadra de la estaci n de kensigton olimpia
693616,14786888,diana gave us useful information to help us find the place and a warm welcome when we arrived the room is large and nicely furnished and we had everything we needed for a very comfortable night the shower was hot and easy to use we appreciated the fact that the accommodation is in an annexe to the house so it was easy to come and go apart from some noise from the heating system or water pipes early in the morning we encountered no problems and are very happy to recommend the place to others
1102480,26244183,we have smooth communication i feel they are very professional it is a very nice experience to stay here please notice there are some stairs in the flat
833984,17899275,great accommodation very central to tubes ect the space is a lot larger than photos give over all a lovely clean spacious place i would really recommend
961237,20895963,an awesome little flat right in the middle of the action in shoreditch loved that we were within walking distance of several pubs clubs and restaurants the flat is lovely a very comfy bed and everything you might need i would book this place again in a heartbeat
846289,18170989,modern clean flat in great location with lovely art on the walls two bedroom/two bath perfect for up to 4 people space to relax together in the living room good kitchen very convenient for king s cross/st pancras a couple flights of stairs up to the flat *during our stay late jun 2018 washer worked fine but dryer did not so you may want to check before committing to a load
784647,16880104,appartamento posizionato in una posizione strategica brick lane un luogo caratteristico che vale la pena di visitare l appartamento a pochi passi dalla metro aldgate east e liverpool street perfetta quindi per chi arriva in treno e si vuole spostare rapidamente noi eravamo 6 persone e l appartamento era un po piccolo per 6 ospiti ma per pochi giorni va bene
978722,21290054,the room was pretty much good just that the its not that ventilated
865879,18653322,quite simlply stunning great place amazing finish anyone that thinks to have both feather and non feather pillow options has nailed it in my book i don t think there can be many places finished to same standard thanks
698297,14905336,great location lovely friendly and welcoming host with loads of knowledge of the area
837250,17974450,the place is exactly as described here the communication with eleanor was very easy and she was always available to answer our questions there was even some breakfast for a few days it s near an overground station and some bus stops we would stay there again
715273,15266330,julian s flat is great it s a 5 minute walk to dollis hill station which is a jubilee line that can take you straight to the heart of london the room was huge and the bed was very comfortable all the appliances hob/microwave/oven/fridge were available to use and it was a true london living experience i recommend julian s place and would definitely stay there again
642084,13666354,it was very accurate the stay was very nice and it was easy to check in and out they do not have bath towels so if you plan to take a shower bring you own other than that great place to stay if you just need a place to sleep for the night or for a few
810246,17470224,great experience i spent just 2 nights in lisa s apartment with my sister and everything was great much better than in the pictures she s a perfect host very kind and also available for our check-in that was actually later than the time we agreed apartment is very comfortable with also a very nice private outdoor space with table and sofas that we really enjoyed very clean and well furnished i definitely suggest this place
780212,16817131,beautiful chic space in short walking distance to tube shops pubs etc would definitely stay again
692646,14766021,dermot was very accommodating and friendly the place is very close to wembley statdium and just a short walk to the underground station clean place with cool vibes would definitely recommend
841751,18066066,nathan had not updated his calendar so he had accepted a reservation but then canceled as i was boarding my flight to london he then asked me to cancel which i didn t understand why i would cancel since it was his mistake
1128713,28107121,what a lovely modern and very tastefully decorated apartment we immediately felt at home mostly also as a result of the hostesses amazing communication and hospitality even before we arrived having been to london several times before i felt that this location was central and conveniently located for public transport too we had a wonderful stay and would happily recommend it
1062121,24037675,melissa is a very friendly host the flat was very clean the size of our room was perfect for my girlfriend and me cozy as we like it and enough space for each other we enjoyed our 9-day-trip in london and would come back to melissa every time we can only recommend it
715661,15277341,we had a great time in sabina s lovely cottage the check-in was completely uncomplicated o sabina has put fresh milk eggs butter and marmelade in the fridge and bread was also in the kitchen so even if you arrive late you can have breakfast the next morning you feel quiet save in the cottage because of the gate in front of it and the neighbourhood seemed to be rather quiet sabina is always reachable via telephone for any questions the next tube station is only a few minutes away and from there you get to central london in about 20 minutes supermarkets restaurants etc are just around the corner we ll stay here again for sure on our next visit to london
901802,19503967,christine and ken are so welcoming and friendly we had a fantastic stay in their home their house is spotless and beautiful the location is ideal as it is in a quiet neighbourhood but you can easily access central london as the train station is 5 minutes away we stayed in a big spacious room and we had access to our own private bathroom breakfast was ready for us every morning and we could not be more thankful for everything they did for us we would recommend staying with ken and christine in a heartbeat and we are excited to stay with them again when we come back to london
943022,20436735,i had a great 2 weeks at asad s flat it was clean comfortable and asad was an amazing host he had great tips for things to see regardless of where i was going and he was both friendly and welcoming i would gladly stay again in the future
1030532,22791997,this is such a quaint classy place to stay i loved the neighborhood and it was right by a couple bus stops it was easy to find easy to get in and janka is very helpful she had tea and coffee out and some candies in my room the townhouse-style layout was perfect the shared bathroom was very clean and i felt like it was all to myself because the place was rather quiet i would stay here again if i go back to london
739712,15855571,i cannot say enough good about gary s place pristine comfortable thoughtful and gary creates such a good atmosphere a high quality offering on every count
739883,15855571,good room very convenient for early flight gary is very nice and the bed was clean and comfortable
722098,15416874,great hosts made me feel incredibly welcome and went out of their way to help out wherever they could communication was great and the location was really easy to get to from the train station would thoroughly recommend
996294,21688562,comfortable stay nice host great neighborhood and very good transportation to landmarks
1081562,24945494,sam & maria s place is very nice as what the picture shows it s modern spacious clean & well-equipped restaurants cafes & grocery stores are just downstairs so we were always easy to get what we need it just takes a few minutes walk to the underground which brought us to the centre of london fast i will definitely stay again when next visiting london
1115193,27108836,for the price it was a good place to stay i would say it was great but there were some negative aspects at the time when we stayed there there were a few other guests so as a result there was no hot water available in the morning to shower you had to really wake up early in order to get it additionally the sound isolation is not that good you can easily hear the guests in rooms next to you the bathroom and under you this is particularly annoying when people arrive during the night or when people wake up in the morning overall it was good and i would be willing to stay another time
1026196,22633285,emma and johns home is fantastic one of the best air b n b s we have stayed in definitely the best we have experienced in london spotlessly clean and spacious great communication john went above and beyond our needs and we really enjoyed our stay we were in town with our 20 month old baby boy and they even supplied a travel cot which made our life much easier the apartment complex is brand new and even better in real life we felt as if we were in a hotel suite it was super close to everything we needed and the free underground parking was fantastic you just can t beat this in london we would love to stay again i
813900,17528360,had a fantastic stay at alain s apartment it is centrally located with easy access to transit very modern well decorated and clean would definitely recommend to any visitors thanks again alain
940841,20350135,mehul demonstrated incredible hospitality we really enjoyed our stay and are so grateful for the helpful recommendations & lovely accommodations highly recommended
1029604,22760011,this lister told me not to mention that it was an airbnb 1 day before checking in he already had my payment so i stayed there nervous about breaking the law in england the whole time the tv was broken and it took 2 day for response never fixed view portrayed by pictures was false no river view only construction and police cars sirens24/7 also no a/c so we had to keep windows
948947,20570738,better than an hotel it was my best experience in airbnb everything was exactly like annouced the room was really comfy and everything was provided towels coffee machine iron plug adapter etc dalia is very nice and always available if you need
764996,16425006,stayed here with 3 other adults and we all enjoyed it very much the apartment was spacious and centrally located it was also very easy to pick up/drop off keys all in all a convienient place to stay when visiting london warmest recommandations from us
764987,16425006,excellent location simple apartment but has everything you need perfect for somewhere to stay in central london
939401,20303230,niaz is incredibly nice and very responsive the home is in a great location 5 minute walk from brick lane market be sure to check it out if you re there felt very safe at all hours and public transportation is close in every direction the only regret i had was not being able to spend much time with her and her family would definitely want to stay there again if i m ever back in london
972041,21139824,christie est une personne chaleureuse et attentionn e d s mon arriv e j ai t mis l aise elle s int ressait mes activit s pour savoir si je passais un agr able s jour je recommande tous de passer quelque jours chez christie
843118,18100734,my family and i enjoyed our stay immensely the flat was comfortable secure and very clean the neighborhood was fantastic berry was very easy to get a hold of when needed and very helpful we would definitely stay again
800766,17222438,i have stayed with lori almost too many times to remember now as i have been on a course in the area a brilliant experience every time lori is friendly and her flat is warm clean and welcoming a great stay very time thank you x
1058985,23902438,inconsistent listing make sure you plan well in advance to avoid any communication issues and read the listing and reviews carefully to understand all the details of where you will be staying this is a shared home clearly for rent with not much attention paid to it
642977,13692946,wonderful hostess and fantastic clean and stylish suite lovely breakfast in the morning
1115108,27107300,appartement situ deux pas de la station de m tro lancaster gate remise des cl s tr s simple gr ce une boite s curis voil les deux seuls avantages de ce bien pour le reste appartement tr s bruyant propret n glig e literie non confortable cuisine mal quip e poign e de porte qui tombe etc
995154,21662213,a unique stay on a central london houseboat along the regent s canal with lots of character modern conveniences and even a piano lovely restaurants and bars nearby and the towpath of cyclists runners dog walkers enjoying the canal good transportation links through buses and city bikes
905700,19598017,we are an american family of 4 two preteens and this was our first trip to london and first airbnb experience to use an american term we feel like we hit a home run with robert and this apartment/flat the great 1 robert - very responsive before and during the trip met us personally to check in and give us various tips about the location things to do etc very thoughtful in terms of including things in the apartment such as milk butter eggs an amazing loaf of bread cookies crackers -all of which we devoured was extremely flexible in terms of check in and check out times for us his super host title is well deserved 2 location of the flat - a 3 minute walk to a tube stop kensington high as well as high st which has everything you could possibly need for a stay things mentioned in previous reviews like whole foods mark and spencer s grocery boots pharmacy etc can walk to kensington palace and gardens with the tube all of the tourist destinations in central london are within 15-20 min away the good 1 the flat was very quiet 2 the flat space was perfect - beds were comfortable note there are two bedrooms one with a good double bed and one with two twin size mattresses - one on the floor and one a true bed - our kids had no issues with them 3 the flat had all the necessary appliances microwave fridge/freezer electric range/oven dishwasher and washing machine the flat did not have a clothes dryer we air dried our clothes 4 the flat felt secure the bad nothing major if you are looking for an architecturally sophisticated exterior of the flat or its street this is probably not the flat for you it sits on a tiny cobblestones street in a two story row of flats the views from the windows are of surrounding flats and we often kept the shades down for privacy as doing otherwise could allow a neighbor to see us and vice versa if you are looking for picturesque views this flat is not for you other reviewers have already mentioned the narrow staircase which is only about 10 steps and might be difficult for those with very large suitcases all this being said the neighborhood is one of the most expensive in london if not the entire country and it is incredibly diverse in terms of architecture the street and flat are cozy and quaint to me this flat is perfect for 2-4 people looking to be in a safe secure quiet area with easy access to all things london we were delighted to find this after another airbnb host cancelled on us with 11 days before the trip - tip always book a backup hotel with free cancellation when using airbnb we really enjoyed our stay and cannot recommend robert enough
869879,18732299,cosy apartment in excellent location perfect for exploring london lots of places to walk to and easy access to public transport serge was prompt and helpful with my questions i d highly recommend this place to anyone visiting to london thanks serge
1068042,24322563,great value everything was fine upon arrival we kinda wished there would have been a lockbox/key code so we wouldn t have to show up at a specific time but once we got there anita was very welcoming and we got a key stayed two nights and did not have to check out at 8am as other reviews mention but this prob depends on work schedule/day of the week thanks anita & david
776721,16726837,great apartment great host very responsive 2 large bedrooms 2 baths and very large living room great for 4 maybe5 people very close to a market and public transport recomended 100%
776759,16726837,-house cleanliness is ok -no hot water in master bedroom and also in public bathroom during my second day stay -washing machine not functioning host didn t help to solve the problem -no shampoo no shower gel in the bathroom -only one lift in property which is not so convenient -close to canning town underground
750340,16109922,shanice is a great host and ensured that we had a nice stay there were some problems with the shower but she was working to get it fixed overall though a good value for the price
802254,17262190,excelente anfitriona y mejor persona nos ayud en todo nos dio mapas indicaciones recomendaciones el apartamento hermoso y nos brindo todo bromley es muy buen lugar la recomiendo much simo y cuando vuelva a londres volveremos a su casa
828576,17771404,really good location stylish flat that is very clean and comfortable would definitely recommend
700957,14948896,i was very happy to live here and hosts taste very stylish and attention to detail thankyou
964746,20980019,melvin s place is great te location is not too bad since you have train services quite near and everything was clean and worked perfect
694371,14795167,lovely little place to stay very central and close to transport would defiantly stay here again
687545,14674785,clementine was an excellent host and we absolutely adored the flat - it s so lovely would highly recommend
752722,16155609,from the reviews we thought this place would be really wonderful especially as annie and andrew are superhosts but it exceeded our expectations their en suite was stunning the breakfasts were amazing and the location was extremely safe & convenient to public transportation mostly we can t overstate their kindness and hospitality
752686,16155609,annie andrew and stanley could not have been more friendly welcoming and helpful we felt right at home they were gracious and immensely supportive in helping us navigate our first trip to london i will certainly recommend to all friends and family and will stay here when we return easy access excellent location safe and near the tube
1093437,25597432,find everything you need plus truly feels like a sweet home
679175,14493364,great location in front of the park silent nights and great days in the green easy to reach chelsea and house is beautiful
824059,17709975,great location and price makes the studio good value for money stay in central london
836381,17956378,the flat is extremely well located and well kept the space is perfect for a couple for a long weekend it is nicely furnished and clean the main problem is the building which is of low standards and with bad odor / poor cleanliness throughout some floors host in our case was unreachable at check in when we needed help and also was globally not very available to check on us but i believe he was on holidays during our time there with low internet connection so that might explain
821952,17679296,really friendly hosts lovely flat bathroom was great and bedroom was perfect very accommodating and would defiantly use again
1127533,27980460,great accommodation location is a minute walk from the central line the communication was great would definitely recommend and would stay here again
1088086,25254121,enjoyed my stay at olivier s place the place is centrally located and his accommodation is comfortable with all the necessary facilities i recommend his place
